 Material ID     Material        Cohesive energy MSD             Self_diff       Specific heat   Lattice const a Lattice const b Lattice const c Interp LC a     Interp LC b     Interp LC c     Bulk modulus    Debye        Lindemann
                 eV/atom         Å^2             mm^2/s          J/(K*Kg)        Å               Å               Å               Å               Å               Å               Pa              K            1
  0003           AcAg            -15.75974       0.0035          0.0             -3.31017        4.054           4.054           4.054           3.962711802     3.962711802     3.962711802     3075.126134178
  0011           Ag3Li           -11.74204       0.01969         1e-05           -22.48594       4.02            4.02            4.02            0               0               0               0
  0012           Ag3Li           -11.30245       0.01225         1e-05           11094.15399     4.102           4.102           4.102           0               0               0               0
  0021           AgEu            -5.91789        0.01405         1e-05           -15.90271       4.681           6.115           7.838           0               0               0               0
  0022           AgEu            -6.02035        0.02321         2e-05           -3.4676         4.777           6.24            7.998           4.539160577     5.929320075     7.599791981     1285.312644018 
  0030           Ag3In           -10.93922       1.05452         0.00081         -1166.45032     2.904           2.904           9.466           -1.653757507    -1.653757507    -5.390657218    17.564443533
  0032           Ag3In           -10.10273       1.3828          0.0011          -1.30795        3.025           3.025           9.86            0               0               0               0
  0041           AgFe            -10.92913       0.0697          4e-05           189.20919       4.807           4.807           4.807           0               0               0               0
  0045           Ag3Cr           -13.28849       0.01568         1e-05           -22.11636       4.871           4.871           4.871           4.546106981     4.546106981     4.546106981     6756.985274032
  0047           Ag3Cr           -12.65842       0.02375         2e-05           345.97378       5.074           5.074           5.074           0               0               0               0
  0056           Ag3Ge           -13.10601       0.42324         0.00031         181.34775       2.929           2.929           9.298           0               0               0               0
  0061           Ag2La           -15.24577       0.02837         2e-05           -32.86993       5.946           5.946           5.946           0               0               0               0
  0062           Ag2La           -15.96086       0.0389          3e-05           -3.9287         6.067           6.067           6.067           0               0               0               0
  0067           Ag4Li9          -8.10152        5.792           0.00461         -1.67981        9.66            8.393           8.335           0               0               0               0
  0078           Ag4Lu           -11.7806        0.62062         0.00039         202.78348       5.347           5.347           5.347           0               0               0               0
  0079           Ag4Lu           -11.58134       0.48379         0.00032         193.30137       5.452           5.452           5.452           0               0               0               0
  0088           Ag5La           -13.41743       0.88846         0.00071         -1.96529        5.778           5.778           9.47            0               0               0               0
