Material ID: 0024
Unit cell composition: Au250
Material:  Au
Site positions of initial unit cell:
 Au          Au         
 -0.00000    1.46906    
 1.69632     0.84816    
 1.21971     3.65913    
Properties:
 Time        Epot        Ekin        Etot        Temp     MSD         Self_diff   LC_a      LC_b      LC_c      Volume      Pressure    DebyeT   Lindemann  
 fs          eV/atom     eV/atom     eV/atom     K        Å^2         mm^2/s      Å         Å         Å         Å^3/atom    Pa          K        1          
 500         -12.38826   0.02721     -12.36105   210.51   0.0         0.0         3.056     3.056     5.074     20.514    144875548021.6312 inf      0.0        
 600         -12.42262   0.06132     -12.3613    474.36   0.03131     9e-05       3.056     3.056     5.074     20.514    129701370116.7116 183.24   0.01062    
 700         -12.61979   0.25655     -12.36324   1984.77  0.14681     0.00035     3.056     3.056     5.074     20.514    116352176375.72375 173.11   0.023      
 800         -13.14179   0.7705      -12.37129   5960.83  0.70109     0.00146     3.056     3.056     5.074     20.514    58625219580.792 137.28   0.05025    
 900         -13.67684   1.28805     -12.38879   9964.77  1.69098     0.00313     3.056     3.056     5.074     20.514    47787224764.66859 114.29   0.07804    
 1000        -13.96707   1.55375     -12.41332   12020.33 3.49843     0.00583     3.056     3.056     5.074     20.514    4107214604.53696 87.27    0.11226    
 1100        -14.00384   1.56221     -12.44163   12085.78 4.59392     0.00696     3.056     3.056     5.074     20.514    -12819006990.77144 76.36    0.12864    
 1200        -13.83748   1.36411     -12.47337   10553.22 4.1406      0.00575     3.056     3.056     5.074     20.514    12733857591.67988 75.16    0.12213    
 1300        -13.71978   1.22079     -12.499     9444.44  3.88237     0.00498     3.056     3.056     5.074     20.514    20756496693.99493 73.43    0.11826    
 1400        -13.99359   1.46413     -12.52946   11326.99 4.27961     0.00509     3.056     3.056     5.074     20.514    22464817510.93931 76.59    0.12416    
 1500        -14.07361   1.51375     -12.55986   11710.9  5.21827     0.0058      3.056     3.056     5.074     20.514    -1492011437.63392 70.53    0.1371     
